"species","continent","country","adm1","adm2","locality","lat","lon","coordUncertaintyM","alt","institution","collection","catalogNumber","basisOfRecord","collector","earliestDateCollected","latestDateCollected","gbifNotes","downloadDate","maxElevationM","minElevationM","maxDepthM","minDepthM","ISO2","cloc"
"Solanum acaule",NA,"Bolivia",NA,NA,"Department: Potosi, Province: Chayanta, 40km from Colquechaca to Ocuri.",-18.8166,-65.9,NA,3960,"NLD037","CGN-PGR","CGN20623","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3960",NA,NA,"BO","Department: Potosi, Province: Chayanta, 40km from Colquechaca to Ocuri., Bolivia"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: La Paz, Province: Pacajes, 8km from Caquiaviri to Antaquira.",-17.1166,-67.6166,NA,4000,"NLD037","CGN-PGR","CGN20591","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"BO","Department: La Paz, Province: Pacajes, 8km from Caquiaviri to Antaquira., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Capital, Ovejeria about 10 hours from Leon by mule.",-24.1,-65.6666,NA,3450,"NLD037","CGN-PGR","CGN18276","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3450",NA,NA,"AR","Province: Jujuy, Department: Capital, Ovejeria about 10 hours from Leon by mule., Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: La Paz, Province: Murillo, 3.5km from Panduro to Eucaliptus.",-17.5333,-67.4833,NA,3840,"NLD037","CGN-PGR","CGN23057","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3840",NA,NA,"BO","Department: La Paz, Province: Murillo, 3.5km from Panduro to Eucaliptus., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Salta, Department: Santa Victoria",-22.25,-65.2166,NA,3900,"NLD037","CGN-PGR","CGN17934","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"AR","Province: Salta, Department: Santa Victoria, Argentina"
"Solanum acaule f. acaule",NA,"Peru",NA,NA,"Department: Cusco, Province: Canas, Checca",-14.4833,-71.4,NA,NA,"NLD037","CGN-PGR","CGN23023","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Department: Cusco, Province: Canas, Checca, Peru"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Cochabamba, Province: Arque, 90km from Cochabamba to Oruro, Sayari.",-17.6666,-66.4666,NA,3780,"NLD037","CGN-PGR","CGN23054","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3780",NA,NA,"BO","Department: Cochabamba, Province: Arque, 90km from Cochabamba to Oruro, Sayari., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Tucuman, Department: Tafi, road Santa Maria - Tafi, Quebrada Honda Km 84.",-26.7833,-66.85,NA,2950,"NLD037","CGN-PGR","CGN22359","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"2950",NA,NA,"AR","Province: Tucuman, Department: Tafi, road Santa Maria - Tafi, Quebrada Honda Km 84., Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: La Paz, Province: Ingavi, 35km from Viacha to Nazacara.",-16.8833,-68.4833,NA,4200,"NLD037","CGN-PGR","CGN18152","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"BO","Department: La Paz, Province: Ingavi, 35km from Viacha to Nazacara., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Salta, Department: Santa Victoria",-22.4,-65.1166,NA,3500,"NLD037","CGN-PGR","CGN24289","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3500",NA,NA,"AR","Province: Salta, Department: Santa Victoria, Argentina"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Cochinoca",-23.5833,-65.85,NA,3700,"NLD037","CGN-PGR","CGN17935","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3700",NA,NA,"AR","Province: Jujuy, Department: Cochinoca, Argentina"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Capital, Molinos",-23.95,-65.6333,NA,3650,"NLD037","CGN-PGR","CGN17911","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3650",NA,NA,"AR","Province: Jujuy, Department: Capital, Molinos, Argentina"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Santa Catalina, El Angosto, 34km W of Santa Catalina.",-21.8833,-66.1833,NA,3680,"NLD037","CGN-PGR","CGN23030","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3680",NA,NA,"AR","Province: Jujuy, Department: Santa Catalina, El Angosto, 34km W of Santa Catalina., Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Oruro, Province: Cercado, Lago Uru Uru, near Machacarmarca.",-18.1666,-67.0833,NA,3700,"NLD037","CGN-PGR","CGN18169","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3700",NA,NA,"BO","Department: Oruro, Province: Cercado, Lago Uru Uru, near Machacarmarca., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: La Rioja, Department: Famatina, Juan Diaz, 19km SW of Los Corrales, road to mine La Mejicana.",-28.95,-67.6833,NA,2850,"NLD037","CGN-PGR","CGN17937","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"2850",NA,NA,"AR","Province: La Rioja, Department: Famatina, Juan Diaz, 19km SW of Los Corrales, road to mine La Mejicana., Argentina"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Salta, Department: Chicoana, Cuesta del Obispo, Valle Encantado.",-25.1666,-65.8666,NA,3450,"NLD037","CGN-PGR","CGN18273","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3450",NA,NA,"AR","Province: Salta, Department: Chicoana, Cuesta del Obispo, Valle Encantado., Argentina"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Tilcara",-23.6333,-65.1,NA,3100,"NLD037","CGN-PGR","CGN24382","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3100",NA,NA,"AR","Province: Jujuy, Department: Tilcara, Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Potosi, Province: Sud Chichas, 61km from Cotagaita to Tupiza.",-21.45,-65.7166,NA,3300,"NLD037","CGN-PGR","CGN18197","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3300",NA,NA,"BO","Department: Potosi, Province: Sud Chichas, 61km from Cotagaita to Tupiza., Bolivia"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Potosi, Province: Ibanez, 45km from Llallagua to Caripuyo via Morocala.",-18.2833,-66.8166,NA,3930,"NLD037","CGN-PGR","CGN18171","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3930",NA,NA,"BO","Department: Potosi, Province: Ibanez, 45km from Llallagua to Caripuyo via Morocala., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Salta, Department: Oran",-23.1666,-65,NA,4400,"NLD037","CGN-PGR","CGN17927","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4400",NA,NA,"AR","Province: Salta, Department: Oran, Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: La Paz, Province: Pacajes, Comanche hill, on road from Viacha to Corocoro.",-17.0833,-68.5833,NA,4100,"NLD037","CGN-PGR","CGN17678","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4100",NA,NA,"BO","Department: La Paz, Province: Pacajes, Comanche hill, on road from Viacha to Corocoro., Bolivia"
"Solanum acaule f. acaule",NA,"Peru",NA,NA,"Department: Arequipa, Province: Caylloma, near Pulpera, on road from Chivay to Chibayo.",-15.65,-71.4333,NA,4000,"NLD037","CGN-PGR","CGN21366","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Department: Arequipa, Province: Caylloma, near Pulpera, on road from Chivay to Chibayo., Peru"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Salta, Department: Santa Victoria, above Rodeopampa, 13 km from Santa Victoria on the road to La Quiaca.",-22.25,-65.0666,NA,3200,"NLD037","CGN-PGR","CGN17674","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3200",NA,NA,"AR","Province: Salta, Department: Santa Victoria, above Rodeopampa, 13 km from Santa Victoria on the road to La Quiaca., Argentina"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Tumbaya, Abra de Chilcayos.",-23.9166,-65.5833,NA,3800,"NLD037","CGN-PGR","CGN21326","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"AR","Province: Jujuy, Department: Tumbaya, Abra de Chilcayos., Argentina"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Salta, Department: Santa Victoria, Abra de Meson, El Meson.",-22.2833,-64.8666,NA,3220,"NLD037","CGN-PGR","CGN23032","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3220",NA,NA,"AR","Province: Salta, Department: Santa Victoria, Abra de Meson, El Meson., Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: La Paz, Province: Ingavi, 79km from Viacha to Jesus de Machaca and passing Nasacara.",-16.8833,-68.8166,NA,3850,"NLD037","CGN-PGR","CGN18153","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3850",NA,NA,"BO","Department: La Paz, Province: Ingavi, 79km from Viacha to Jesus de Machaca and passing Nasacara., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Santa Catalina",-22.25,-66.3166,NA,3940,"NLD037","CGN-PGR","CGN17933","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3940",NA,NA,"AR","Province: Jujuy, Department: Santa Catalina, Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Potosi, Province: Frias, road to Lecherias, 0.5km from Potosi.",-19.6333,-65.0666,NA,3950,"NLD037","CGN-PGR","CGN24285","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"BO","Department: Potosi, Province: Frias, road to Lecherias, 0.5km from Potosi., Bolivia"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Oruro, Province: Carangas, 47km from Oruro to Toledo and thereafter to Llanquera.",-18.15,-67.6166,NA,3600,"NLD037","CGN-PGR","CGN18148","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3600",NA,NA,"BO","Department: Oruro, Province: Carangas, 47km from Oruro to Toledo and thereafter to Llanquera., Bolivia"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Oruro, Province: Cercado, 8km from La Joya to Lajma (between Llanquera and Eucaliptus).",-17.7666,-67.5333,NA,3680,"NLD037","CGN-PGR","CGN18150","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3680",NA,NA,"BO","Department: Oruro, Province: Cercado, 8km from La Joya to Lajma (between Llanquera and Eucaliptus)., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Yavi",-22.2166,-65.25,NA,4200,"NLD037","CGN-PGR","CGN17939","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"AR","Province: Jujuy, Department: Yavi, Argentina"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Capital, Quebrada de Tolara, 1km from Molinos.",-23.9666,-65.6333,NA,3500,"NLD037","CGN-PGR","CGN18275","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3500",NA,NA,"AR","Province: Jujuy, Department: Capital, Quebrada de Tolara, 1km from Molinos., Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Tarija, Province: Avilez, 97km from Tarija to Villazon.",-21.75,-65.0833,NA,3650,"NLD037","CGN-PGR","CGN18204","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3650",NA,NA,"BO","Department: Tarija, Province: Avilez, 97km from Tarija to Villazon., Bolivia"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Oruro, Province: Carangas, 39km from Toledo to Corque, near Hauko Kcale.",-18.3333,-67.6,NA,3750,"NLD037","CGN-PGR","CGN18162","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3750",NA,NA,"BO","Department: Oruro, Province: Carangas, 39km from Toledo to Corque, near Hauko Kcale., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Tilcara, above El Duranzo, 12 hours E of Tilcara.",-23.6,-65.1833,NA,3200,"NLD037","CGN-PGR","CGN18271","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3200",NA,NA,"AR","Province: Jujuy, Department: Tilcara, above El Duranzo, 12 hours E of Tilcara., Argentina"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Humahuaca, Chaupi Rodero, between Iturbe and Condor.",-22.9333,-65.3166,NA,3600,"NLD037","CGN-PGR","CGN24287","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3600",NA,NA,"AR","Province: Jujuy, Department: Humahuaca, Chaupi Rodero, between Iturbe and Condor., Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: La Paz, Province: Los Andes, road from La Paz to Guaqui, 53km from El Alto (Tambillo).",-16.5833,-68.8166,NA,3750,"NLD037","CGN-PGR","CGN23058","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3750",NA,NA,"BO","Department: La Paz, Province: Los Andes, road from La Paz to Guaqui, 53km from El Alto (Tambillo)., Bolivia"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Oruro, Province: Dalence, 29km from Oruro to Huanuni, Realenga.",-18.0666,-67,NA,3260,"NLD037","CGN-PGR","CGN18170","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3260",NA,NA,"BO","Department: Oruro, Province: Dalence, 29km from Oruro to Huanuni, Realenga., Bolivia"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: La Paz, Province: Ingavi, 18km from Viacha to Nazacara.",-16.7666,-68.3666,NA,4100,"NLD037","CGN-PGR","CGN20613","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4100",NA,NA,"BO","Department: La Paz, Province: Ingavi, 18km from Viacha to Nazacara., Bolivia"
"Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Santa Catalina",-21.8833,-66.1,NA,4000,"NLD037","CGN-PGR","CGN23785","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"AR","Province: Jujuy, Department: Santa Catalina, Argentina"
"Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: La Paz, Province: Ingavi, road Tiwanacu to Taraco (Pillapi village).",-16.5,-68.7666,NA,3820,"NLD037","CGN-PGR","CGN18151","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3820",NA,NA,"BO","Department: La Paz, Province: Ingavi, road Tiwanacu to Taraco (Pillapi village)., Bolivia"
"Solanum acaule Bitter","South America","Argentina","Salta","Los Andes","Ruta 51, 6 km después del desvío a Santa Rosa de los Pastos Grandes",-24.22,-66.43,NA,4260,"MO","Tropicos","2342033","specimen","Cialdella, A. M., Deginani, N. B. & Giussani, L. M.","2002-02-18","2002-02-18","Data from GBIF data index - original values.",2013-01-16,NA,"4260",NA,NA,"AR","Ruta 51, 6 km después del desvío a Santa Rosa de los Pastos Grandes, Salta, Los Andes, Argentina, South America"
"Solanum acaule Bitter","South America","Peru","Cusco","Urubamba","Dtto. Huayllabamba. Laguna Yanaccocha y Kello ccocha.",-13.35,-72.07,NA,4000,"MO","Tropicos","465450","specimen","Alfredo Tupayachi H. y W. Galiano","1989-01-06","1989-01-06","Data from GBIF data index - original values.",2013-01-16,"4200","3800",NA,NA,"PE","Dtto. Huayllabamba. Laguna Yanaccocha y Kello ccocha., Cusco, Urubamba, Peru, South America"
"Solanum acaule Bitter","South America","Bolivia","La Paz",NA,"Rechtes Seitental des Amarete Tales gegenuber Amarete, Devonschiefer.",-15.23,-68.97,NA,4200,"MO","Tropicos","1857660","specimen","T. Feuerer","1980-01-31","1980-01-31","Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"BO","Rechtes Seitental des Amarete Tales gegenuber Amarete, Devonschiefer., La Paz, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","Cochabamba","Carrasco","Cerca de Pojo (km 190-191 ruta Cbba-SC)",-17.75,-64.95,NA,2000,"MO","Tropicos","1764554","specimen","Ochoa C, Salas A","1984-02-26","1984-02-26","Data from GBIF data index - original values.",2013-01-16,NA,"2000",NA,NA,"BO","Cerca de Pojo (km 190-191 ruta Cbba-SC), Cochabamba, Carrasco, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","Potosi",NA,"Km 100 en ruta Sucre-Potosi",-19.55,-65.42,NA,NA,"MO","Tropicos","1764322","specimen","Correll D, Dodds K, Brucher E & G","1990-02-18","1990-02-18","Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Km 100 en ruta Sucre-Potosi, Potosi, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","Chuquisaca","Zudanez","Entre Sunchu Tambo y La quebrada; cerca de Jatum Khasa",-19.25,-64.67,NA,2600,"MO","Tropicos","1764520","specimen","Ochoa C","1978-03-24","1978-03-24","Data from GBIF data index - original values.",2013-01-16,NA,"2600",NA,NA,"BO","Entre Sunchu Tambo y La quebrada; cerca de Jatum Khasa, Chuquisaca, Zudanez, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","La Paz","Pacajes","Pacajes. Vichaya",-17.12,-68.77,NA,3800,"MO","Tropicos","1762834","specimen","Johns T","1983-01-11","1983-01-11","Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"BO","Pacajes. Vichaya, La Paz, Pacajes, Bolivia, South America"
"Solanum acaule Bitter","South America","Argentina","Jujuy","Tumbaya","Unos km más arriba de la Puerta de Lipán, por el camino de cornisa que va desde Purmamarca hacia Susques",-23.68,-65.63,NA,3590,"MO","Tropicos","2339461","specimen","Negritto, M. A., Barboza, G. E., Chiarini, F. & Matesevach, M.","2002-03-06","2002-03-06","Data from GBIF data index - original values.",2013-01-16,NA,"3590",NA,NA,"AR","Unos km más arriba de la Puerta de Lipán, por el camino de cornisa que va desde Purmamarca hacia Susques, Jujuy, Tumbaya, Argentina, South America"
"Solanum acaule Bitter","South America","Bolivia","Chuquisaca","Oropeza","15 km ENE de Sucre (air dist.), Ruta Sucre - Aiquile.",-19,-65.17,NA,1950,"MO","Tropicos","1763375","specimen","Urgent D, Cardenas M","1963-04-11","1963-04-11","Data from GBIF data index - original values.",2013-01-16,NA,"1950",NA,NA,"BO","15 km ENE de Sucre (air dist.), Ruta Sucre - Aiquile., Chuquisaca, Oropeza, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","Cochabamba","Cercado","Abra de Sacaba",-17.42,-66,NA,2580,"MO","Tropicos","1764220","specimen","Cardenas M","1941-03-01","1941-03-01","Data from GBIF data index - original values.",2013-01-16,NA,"2580",NA,NA,"BO","Abra de Sacaba, Cochabamba, Cercado, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","La Paz",NA,"Kalkrippe an der StraBe von Charazani nanch Pumazani.",-15.23,-68.97,NA,4050,"MO","Tropicos","1857513","specimen","T. Feuerer","1980-01-23","1980-01-23","Data from GBIF data index - original values.",2013-01-16,NA,"4050",NA,NA,"BO","Kalkrippe an der StraBe von Charazani nanch Pumazani., La Paz, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","La Paz","Inquisivi","5 km N of Inquisivi",-16.88,-67.13,NA,2397,"MO","Tropicos","1762979","specimen","Spooner D et al.","1993-03-16","1993-03-16","Data from GBIF data index - original values.",2013-01-16,NA,"2397",NA,NA,"BO","5 km N of Inquisivi, La Paz, Inquisivi, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","Cochabamba","Cercado","A 2 km de Tupuraya (Ruta Cochabamba-Sacaba)",-17.37,-66.08,NA,NA,"MO","Tropicos","1764546","specimen","Ochoa C","1947-01-27","1947-01-27","Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","A 2 km de Tupuraya (Ruta Cochabamba-Sacaba), Cochabamba, Cercado, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","Cochabamba","Cercado","4 km de de Cbba. Ruta a Santa Cruz.",-17.38,-66.13,NA,2700,"MO","Tropicos","1764311","specimen","Correll D, Dodds K, Brucher E & G","1960-02-13","1960-02-13","Data from GBIF data index - original values.",2013-01-16,NA,"2700",NA,NA,"BO","4 km de de Cbba. Ruta a Santa Cruz., Cochabamba, Cercado, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","Chuquisaca","Oropeza","Proximidades de Cabezas; en ruta de Sucre-Yotala",-19.18,-65.25,NA,2380,"MO","Tropicos","1764564","specimen","Ochoa C, Salas A","1984-03-01","1984-03-01","Data from GBIF data index - original values.",2013-01-16,NA,"2380",NA,NA,"BO","Proximidades de Cabezas; en ruta de Sucre-Yotala, Chuquisaca, Oropeza, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","Cochabamba","Tapacari","junction of main road from Cochabamba to La Paz with road to Independencia Pongo Gravelly roadside and edges of cultivated fields of Solanum tuberosum, Avena sativa, altiplano tussock grassland",-17.62,-66.65,NA,3950,"MO","Tropicos","1451675","specimen","M. Nee & J. Solomon","1988-03-11","1988-03-11","Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"BO","junction of main road from Cochabamba to La Paz with road to Independencia Pongo Gravelly roadside and edges of cultivated fields of Solanum tuberosum, Avena sativa, altiplano tussock grassland, Cochabamba, Tapacari, Bolivia, South America"
"Solanum acaule Bitter","South America","Bolivia","La Paz","Pacajes","Pacajes. Rosario",-17.42,-68.85,NA,3811,"MO","Tropicos","1762871","specimen","R. Shepard","1920-01-01","1920-01-01","Data from GBIF data index - original values.",2013-01-16,NA,"3811",NA,NA,"BO","Pacajes. Rosario, La Paz, Pacajes, Bolivia, South America"
